Year,Player,Stats,League
2021,Shohei Ohtani,"BA: .257, HR: 46, RBI: 100",American League
2021,Bryce Harper,"BA: .309, HR: 35, RBI: 84",National League
2020,Jose Abreu,"BA: .317, HR: 19, RBI: 60",American League
2020,Freddie Freeman,"BA: .341, HR: 13, RBI: 53",National League
2019,Mike Trout,"BA: .291, HR: 45, RBI: 104",American League
2019,Cody Bellinger,"BA: .305, HR: 47, RBI: 115",National League
2018,Mookie Betts,"BA: .346, HR: 32, RBI: 80",American League
2018,Christian Yelich,"BA: .326, HR: 36, RBI: 110",National League
2017,Jose Altuve,"BA: .346, HR: 24, RBI: 81",American League
2017,Giancarlo Stanton,"BA: .281, HR: 59, RBI: 132",National League
2016,Mike Trout,"BA: .315, HR: 29, RBI: 100",American League
2016,Kris Bryant,"BA: .292, HR: 39, RBI: 102",National League
2015,Josh Donaldson,"BA: .297, HR: 41, RBI: 123",American League
2015,Bryce Harper,"BA: .330, HR: 42, RBI: 99",National League
2014,Mike Trout,"BA: .287, HR: 36, RBI: 111",American League
2014,Clayton Kershaw,"W-L: 21-3, ERA: 1.77, SO: 239",National League
2013,Miguel Cabrera,"BA: .348, HR: 44, RBI: 137",American League
2013,Andrew McCutchen,"BA: .317, HR: 21, RBI: 84",National League
2012,Miguel Cabrera,"BA: .330, HR: 44, RBI: 139",American League
2012,Buster Posey,"BA: .336, HR: 24, RBI: 103",National League
2011,Justin Verlander,"W-L: 24-5, ERA: 2.40, SO: 250",American League
2011,Ryan Braun,"BA: .332, HR: 33, RBI: 111",National League
2010,Josh Hamilton,"BA: .359, HR: 32, RBI: 100",American League
2010,Joey Votto,"BA: .324, HR: 37, RBI: 113",National League
2009,Joe Mauer,"BA: .365, HR: 28, RBI: 96",American League
2009,Albert Pujols,"BA: .327, HR: 47, RBI: 135",National League
2008,Dustin Pedroia,"BA: .326, HR: 17, RBI: 83",American League
2008,Albert Pujols,"BA: .357, HR: 37, RBI: 116",National League
2007,Alex Rodriguez,"BA: .314, HR: 54, RBI: 156",American League
2007,Jimmy Rollins,"BA: .296, HR: 30, RBI: 94",National League
2006,Justin Morneau,"BA: .321, HR: 34, RBI: 130",American League
2006,Ryan Howard,"BA: .313, HR: 58, RBI: 149",National League
2005,Alex Rodriguez,"BA: .321, HR: 48, RBI: 130",American League
2005,Albert Pujols,"BA: .330, HR: 41, RBI: 117",National League
2004,Vladimir Guerrero,"BA: .337, HR: 39, RBI: 126",American League
2004,Barry Bonds,"BA: .362, HR: 45, RBI: 101",National League
2003,Alex Rodriguez,"BA: .298, HR: 47, RBI: 118",American League
2003,Barry Bonds,"BA: .341, HR: 45, RBI: 90",National League
2002,Miguel Tejada,"BA: .308, HR: 34, RBI: 131",American League
2002,Barry Bonds,"BA: .370, HR: 46, RBI: 110",National League
2001,Ichiro Suzuki,"BA: .350, HR: 8, RBI: 69",American League
2001,Barry Bonds,"BA: .328, HR: 73, RBI: 137",National League
2000,Jason Giambi,"BA: .333, HR: 43, RBI: 137",American League
2000,Jeff Kent,"BA: .334, HR: 33, RBI: 125",National League
1999,Iván Rodríguez,"BA: .332, HR: 35, RBI: 113",American League
1999,Chipper Jones,"BA: .319, HR: 45, RBI: 110",National League
1998,Juan Gonzalez,"BA: .318, HR: 45, RBI: 157",American League
